tribe,squad,app,component,repo,tier,lines,coverage,complexity,vulnCritical,vulnHigh,vulnModerate,vulnLow,requests,errors, cost
Growth,subscription-program-awareness,loyalty-program-validator,loyalty_program_validator,loyalty-program-validator,2,528.0,72.4,32.0,0,0,0,0,2.57515619e+06,385.23,96.05998500000001
Growth,subscription-program-awareness,loyalty-program-bff,loyalty_program_bff,loyalty-program-bff,2,12320.0,87.1,1266.0,0,1,3,0,228963.687,111.294,82.492365
Growth,subscription-program-awareness,loyalty-program-frontends,loyalty_program,web-micro-site-loyalty-program,2,12499.0,69.3,905.0,0,0,12,0,4901.441,1.752,90.863545
Growth,subscription-program-awareness,loyalty-program-banner,loyalty_program_banner,loyalty-program-banner,3,1281.0,88.3,141.0,0,0,1,0,65833.407,6.3,54.699985
Growth,subscription-program-awareness,loyalty-program-plan,loyalty_program_plan,loyalty-program-plan,2,3899.0,83.3,391.0,0,0,0,0,553241.125,11.16,144.666615
Growth,subscription-program-awareness,loyalty-program-savings,loyalty_program_savings,loyalty-program-savings,3,1196.0,83.0,98.0,0,0,1,0,148.978,0.012,8.44884
Growth,communications,ret-rewards-service,reward_api,reward-api,3,1428.0,86.0,68.0,0,0,1,0,542.952,0,0.712325
Growth,communications,ret-challenges-service,ret_challenges_bff,ret-challenges-bff,3,4234.0,85.1,226.0,0,0,0,0,72378.27,12.452,98.293295
Growth,communications,ret-challenges-service,ret_challenges_admin_bff,ret-challenges-admin-bff,3,1145.0,85.8,78.0,0,0,0,0,241.894,0.012,98.293295
Growth,communications,ret-challenges-service,ret_challenges_api,ret-challenges-api,3,4498.0,85.2,404.0,0,0,1,0,3944.963,0.002,98.293295
Growth,communications,braze-tracker,braze_tracker_service,braze-tracker-service,3,1528.0,57.9,55.0,0,0,0,0,483.54,0,249.48393500000006
Growth,communications,braze-adapters,braze_adapters_service,braze-adapters-service,3,2515.0,81.8,54.0,0,0,0,0,973.002,0,141.52755000000002
Growth,communications,comms-settings,comms_user_settings_service,comms-user-settings-service,3,414.0,97.2,45.0,,,,,537203.482,329.413,80.28607
